scatter,diam_740_mid,diam_740_upr,diam_740_lwr,Qc_740_mid,Qc_740_upr,Qc_740_lwr,diam_751_mid,diam_751_upr,diam_751_lwr,Qc_751_mid,Qc_751_upr,Qc_751_lwr,diam_989_mid,diam_989_upr,diam_989_lwr,Qc_989_mid,Qc_989_upr,Qc_989_lwr
0.000865360567571421,0.338475518412387,0.522693096379806,0.281058032415417,0.00914453562256363,0.0280579573099997,0.00566077153396638,0.240191868757828,0.364805004526935,0.200220653483372,0.00377415595311061,0.0110942211348678,0.00235979624657896,0.263687557187937,0.401824141432858,0.219606571735755,0.00480165125509844,0.0142361711894689,0.00299519353692288
0.000867426338520217,0.33865630752516,0.522990976277694,0.281206063585674,0.0091571542228551,0.0280993229923648,0.00566846532398102,0.240347484530623,0.365049422116591,0.200349119190563,0.00378048035017421,0.0111134214688422,0.0023637064241494,0.263849751859773,0.402082883133141,0.219740656473674,0.00480929156935853,0.0142598312380091,0.00299992308062378
0.000869497040834935,0.338837528213985,0.523289567268349,0.281354448132895,0.00916980294600966,0.028140787422036,0.00567617748045295,0.240503375085711,0.365293439378879,0.200477891568448,0.00378681771766832,0.0111326266932009,0.00236762593601532,0.264012303108928,0.402340408309874,0.219875061295922,0.00481694930764424,0.0142834476117009,0.00300466391459413
0.000871572686287629,0.339019181509111,0.523588871049275,0.281503186900656,0.00918248186393597,0.0281823508347409,0.00568390804722618,0.240659637779526,0.365538039154156,0.200606971349105,0.00379317021359576,0.0111518777638762,0.00237155480445935,0.264175242397082,0.402598548245413,0.220009786966598,0.00482462532632527,0.0143071203619144,0.00300941606578583
0.000873653286678458,0.339201268443247,0.523888889322031,0.281651932547919,0.0091951910487144,0.0282240134667698,0.00569165948119835,0.24081627350043,0.365783222832987,0.200736447337879,0.00379953787407083,0.0111711747903114,0.00237550348908446,0.264338570650552,0.402857304407296,0.220144834251623,0.00483231966904024,0.0143308496232302,0.00301417956121511
0.000875738853835748,0.339383274340072,0.524189623792237,0.281800662374754,0.00920790726337287,0.028265775554977,0.00569943198960854,0.240973283138905,0.366028991809253,0.200866390520192,0.00380592073529403,0.0111905178822113,0.00237948033751819,0.264502288797871,0.403116678266567,0.22028020391875,0.00484003237953187,0.0143546355305507,0.00301895442796271
0.00087782939961606,0.33956343932376,0.524491067383712,0.281949747246374,0.00922055099024026,0.0283076369293624,0.00570722305239095,0.241129348706458,0.366274857265232,0.200996643900198,0.00381228725172612,0.0112099223554233,0.00238346667940271,0.26466631252247,0.403376598706793,0.220414756698407,0.00484777660071379,0.0143784849277343,0.00302371874711359
0.000879924935904263,0.339744034393592,0.524790772442798,0.282099188010332,0.00923322489995239,0.0283494842454724,0.0057150327138382,0.241285041989352,0.36652083527182,0.201127208218393,0.00381865113026547,0.0112293878651197,0.00238746253740058,0.264830602051399,0.403636503078541,0.220549156446718,0.00485555863139232,0.0144024500852472,0.00302848531043686
0.000882025474613594,0.339925060576259,0.525091192951638,0.282248985516209,0.00924592906456111,0.0283914314586348,0.00572286101834862,0.241441106940048,0.366767400472046,0.201258084217043,0.00382503020052478,0.0112488998424805,0.00239146793422848,0.264995283768913,0.403897027888659,0.220683877031345,0.00486335923917443,0.0144264724518913,0.00303326325240205
0.000884131027685729,0.340106518900907,0.525392330618138,0.282399140615611,0.00925866355629029,0.0284334788073217,0.00573070801042657,0.241597544445785,0.367014554267647,0.201389272640185,0.00383142449876941,0.0112684583984323,0.00239548289265731,0.265160358611236,0.404158174618245,0.220818919218181,0.004871178468407,0.0144505521642349,0.00303805260017203
0.000886241607090852,0.340288410399136,0.525694187154281,0.282549654162178,0.00927142844753622,0.0284756265305746,0.00573857373468261,0.241754355395918,0.367262298063706,0.201517356309671,0.00383783406135131,0.0112880636441666,0.00239942414236535,0.265325827516827,0.404419944751933,0.220954283774947,0.00487901636354278,0.0144746893591726,0.0030428533809745
0.000888357224827723,0.340470736105008,0.52599676427614,0.282696861562027,0.00928422381086799,0.0285178748680056,0.00574630578280126,0.241911527494983,0.36750959998446,0.201645726682153,0.00384426990569087,0.0113076727515523,0.00240337433616536,0.265491691426386,0.404682339777901,0.221089985968795,0.00488687296914062,0.0144988841739256,0.00304766807782458
0.000890477892923742,0.340652634360751,0.52630006370388,0.28284414987152,0.00929704006197197,0.0285602240597988,0.00575404503806101,0.242069047697819,0.367755690052264,0.201774403497748,0.00385074367535011,0.0113272537761315,0.00240733395978677,0.265656324284999,0.404942865881295,0.221226195324211,0.00489470671072592,0.0145230041156505,0.00305252530287118
0.000892603623435024,0.340834647723598,0.526600173873335,0.282991789784636,0.00930988333555429,0.0286023499167022,0.00576180276831175,0.242226943929644,0.368002367581217,0.201903387487991,0.00385723289905914,0.0113468815441299,0.00241130303574024,0.26582101548337,0.405203147634705,0.221362729835798,0.00490255059192997,0.014547135591936,0.00305739412298552
0.000894734428446463,0.341017095585001,0.526900867926067,0.283139782140716,0.00932275726833515,0.0286445653479306,0.00576957901765658,0.242385217088105,0.368249633973693,0.202032679386163,0.00386373761370954,0.0113665561671323,0.0024152815865902,0.265986099829182,0.405464050727364,0.221499590279763,0.0049104131978859,0.0145713246743853,0.0030622745658471
0.000896870320071798,0.341199978982186,0.527202279789456,0.283288127781105,0.00933566193350356,0.0286868815549682,0.00577737383030392,0.242543868072996,0.368497490635416,0.202162372127538,0.00387025785628097,0.0113862777569902,0.00241928628324342,0.266151578260948,0.40572557664252,0.221636777434165,0.00491829457329306,0.0145955715005148,0.00306716665920149
