scatter,diam_Leo_mid,diam_Leo_upr,diam_Leo_lwr,Qc_Leo_mid,Qc_Leo_upr,Qc_Leo_lwr,diam_Penny_mid,diam_Penny_upr,diam_Penny_lwr,Qc_Penny_mid,Qc_Penny_upr,Qc_Penny_lwr
0.0130547098336656,0.698203211663927,0.878926709516682,0.577164223165562,0.0592180529110055,0.107245364628104,0.0362354596988954,0.676708213849452,0.850847442465307,0.559747603019457,0.0546282161026517,0.0986273486697132,0.033481146944518
0.0131037314475991,0.698765954046102,0.879657373860408,0.577620472901711,0.0593411016590041,0.107476095006895,0.036309261253311,0.67726950780384,0.851572196334217,0.560200690412855,0.0547449568086261,0.0988448317529092,0.033551124502557
0.0131529371421184,0.699325130970333,0.880390781914707,0.578073252896521,0.0594639263571755,0.107707691799087,0.0363828619420062,0.677826489828404,0.852299671719331,0.56065292543318,0.054861418023447,0.0990631315047158,0.0336211467394051
0.0132023276084625,0.699886407654393,0.881126943982457,0.578527147044116,0.0595872122731763,0.107940158258142,0.0364566849575465,0.678385392355393,0.85302987884019,0.561106858636833,0.0549782974372001,0.0992822509917976,0.0336914319160738
0.0132519035404665,0.700449791983071,0.881865870405228,0.57898274560521,0.0597109611389213,0.108173497649736,0.0365307851851744,0.678946393611825,0.853762827954706,0.561562496400643,0.0550956157437029,0.099502193292334,0.0337619810199258
0.0133016656345707,0.701015291870763,0.882607571563423,0.57944005498003,0.0598351746928286,0.10840771325181,0.0366051636658466,0.679509501478619,0.854498529359313,0.562018365094422,0.0552133745910376,0.0997229614960641,0.0338326680167954
0.0133516145898304,0.701576952020344,0.883342018902705,0.579896176898661,0.0599591308033882,0.108641168005675,0.0366795522347289,0.680069464407438,0.855228308151736,0.562471857064163,0.0553309847547406,0.0999432480952291,0.033903269545372
0.0134017511079263,0.702139824502657,0.884078142232734,0.580351131284242,0.0600834435238384,0.108875322618706,0.0367539531894626,0.680630176016927,0.855958799208791,0.562927051937188,0.0554488844354055,0.100164055845476,0.0339741361890618
0.0134520758931736,0.702704810621955,0.88481702977232,0.580807794064612,0.0602082230497761,0.109110356503448,0.0368286335264979,0.681192993149127,0.856692033325711,0.563383956108053,0.0555672268400147,0.100385692748759,0.0340452689433961
0.0135025896525327,0.703271918315136,0.885558691901321,0.581266171654947,0.0603334711340982,0.109346272961644,0.0369035942949406,0.681757923710467,0.857428020802932,0.563842575995328,0.0556860136310365,0.100608161918621,0.0341166688076445
0.0135532930956182,0.703837182485482,0.886303139038569,0.581725649295237,0.0604587049895877,0.109583075307438,0.0369787786894421,0.682320957210551,0.85816677197957,0.564297334228813,0.0558047929156132,0.1008314664803,0.0341878551668945
0.0136041869347097,0.704401664777581,0.887046039517435,0.582181665951823,0.060584054883084,0.109820053572341,0.0370537623511087,0.682883488884093,0.858903673895674,0.564753797097917,0.0559237229503617,0.101054908161482,0.0342593085766429
0.0136552718847615,0.704968266751645,0.887784910756499,0.582639394992122,0.0607098754767465,0.110056801549207,0.0371290275831939,0.683448132914852,0.859637214450466,0.565211974026303,0.0560430995781272,0.101278259128875,0.0343310303003954
0.0137065486634123,0.705536996367271,0.888526556523767,0.583098842846288,0.0608361685380963,0.110294438536098,0.0372045754430201,0.684014897234919,0.860373509516261,0.565671871450415,0.0561629244759065,0.101502448799312,0.0344030213456952
0.013758017990996,0.706105897926959,0.889270987237842,0.583560015968624,0.0609626952343568,0.110532967871328,0.03728040699188,0.684580933307071,0.861112569436496,0.566129421728328,0.0562828754085948,0.101727480322201,0.0344749295886872
0.0138096805905511,0.706671996038377,0.890018213356452,0.584018799659111,0.0610890917944148,0.110772392905745,0.037356137549184,0.685145304426784,0.861854404593452,0.566587156349156,0.0564028469400905,0.101953356858773,0.0345469749068884
0.0138615371878314,0.707240219899307,0.890768245376593,0.584477599312565,0.0612159629849662,0.111012717002779,0.0374319927225658,0.685711794810999,0.86259841243225,0.567046609804807,0.0565232689755174,0.102179988091237,0.0346192907617633
0.0139135885113157,0.707810577492132,0.891511277002022,0.584938121800136,0.0613433105882913,0.111252322288933,0.0375081327389715,0.686280412417746,0.863335035321569,0.567507788549661,0.0566441432065582,0.10240591788281,0.0346918781692015
0.0139658352922188,0.708383076829206,0.892255713375065,0.585400373591222,0.0614711363933632,0.111492598515276,0.0375845586680123,0.686849473550924,0.864074424296337,0.567968128939693,0.0567652786060495,0.102632696061146,0.0347645142791231
0.0140182782645006,0.708950859969383,0.893002945173892,0.585862541251544,0.061598596988237,0.111733777000539,0.0376611003938803,0.687415693972967,0.864816589743453,0.568427146144545,0.0568863018080076,0.102860325812014,0.034837157317617
0.0140709181648776,0.709520714404829,0.893752982895579,0.586322422264617,0.0617265287268816,0.111975861132786,0.0377375512039339,0.687984040603808,0.865561542088822,0.568887887000439,0.0570077794630142,0.103088810333145,0.0349100731372783
0.0141237557328325,0.710092708695123,0.894505837076621,0.58678403017241,0.0618549408607537,0.112218854312804,0.0378142890936809,0.688554521427556,0.866309291797497,0.569350357979839,0.0571297132775817,0.10331815283428,0.0349832627624248
0.0141767917106251,0.710666850875614,0.895257324191701,0.587247371459568,0.0619838351937811,0.11246206361329,0.0378913151411314,0.689126615818018,0.86705242385355,0.569813477011962,0.0572520444588976,0.103547218055448,0.0350566319353012
0.014230026843302,0.71123829905661,0.896004583662969,0.587712452635087,0.0621126137172987,0.112705015760307,0.0379686304283435,0.689694692271426,0.867794939365638,0.570273780321097,0.057374129249615,0.103776621064479,0.0351298779213649
0.0142834618787079,0.71180980019016,0.896754649161011,0.588173880937343,0.0622416169775053,0.112948880214567,0.0380457256562493,0.690264901903199,0.868540243090504,0.570735812110711,0.0574966724797428,0.104006885502518,0.0352033989527184
0.0143370975674957,0.712383447362059,0.89750753122271,0.58863658299215,0.0623711046565999,0.113193660401869,0.0381230669997918,0.690837252723615,0.86928834549814,0.571199578871405,0.0576196758707624,0.104238014604309,0.0352771960621819
0.0143909346631367,0.712959248630874,0.898263240424516,0.589101022534942,0.0625010785736188,0.113439359760871,0.0382006987670612,0.69141175277303,0.87003925709785,0.571665087118152,0.0577431411506192,0.104470011616742,0.0353512702864533
0.014444973921932,0.713534322667665,0.899021787382597,0.589567206090144,0.0626311815392578,0.113685981743146,0.0382786220486248,0.691982370280742,0.870789510180804,0.57212712913817,0.0578663755473413,0.104702343732691,0.0354251640012976
